REF_ID;PUB_TYPE;REFERENCE
REF037;Article;"Barrios-Garcia, M. N.; Relva, M. A.; and Kitzberger, T. 2012. Patterns of use and damage by exotic deer on native plant communities in northwestern Patagonia. Wildlife Reserach, 58:137-146."
REF038;Data base ;Base de dados nacional de especies exoticas invasoras I3N Brazil, Instituto Horus de Desenvolvimento e Conservacao Ambiental, Florianopolis SC. Accessed through GBIF data portal <http://i3n.institutohorus.org.br>
REF039;Data base ;Base de Datos de Especies Invasoras para Uruguay (InBUy). Accessed in <http://inbuy.fcien.edu.uy/>
REF040;Data base ;Base de datos ECOBIO Uruguay. Accessed through GBIF data portal <https://ecobiouruguay.org.uy/>
REF041;Thesis;Batista, G. O. 2015. O javali (Sus scrofa Linnaeus, 1758) na regiao do Parque Nacional das Araucarias: percepções humanas e relação com regeneraão de Araucaria angustifolia -Bertol.- Kuntze. Universidade Federal de Santa Catarina.
REF042;Article;"Beca, G.; Vancine, M. H.; Carvalho, C. S.; Pedrosa, F.; Alves, R. S. C.; Buscario, D.; Peres, C. A.; Ribeiro, M. C.; and Galetti, M. 2017. High mammal species turnover immersed in biofuel plantations. Biological Conservation, 210:352-359."
REF043;Thesis;Bechara, I. M. 2012. Abordagens metodologicas em Biogeografia da Conservacao para avaliar risco de extincao de espécies: um estudo de caso com Callithrix aurita (Primates: Callitrichidae). Universidade Federal do Rio de Janeiro (UFRJ).
REF044;Article;"Benitez, V. V.; Chavez, S. A.; Gozzi, A. C.; and Guichón, M. L. 2013. Invasion status of Asiatic red-bellied squirrels in Argentina. Mammalian Biology, 78:164-168."
REF045;Book;"Bergallo, H. G.; Martins-Hatano, F.; Raices, D. S.; Ribeiro, T. T. L.; Alves, A. G.; Luz, J. L.; Mangolin, R.; and Mello, M. A. R. 2004. Os mamíferos da Restinga de Jurubatiba. Pesquisas de longa duracao na Restinga de Jurubatiba. Ecologia, Historia Natural e Conservacao. Editora Rima, 374. São Carlos."
REF046;Article;"Bezerra, A. M.; Lazar, A.; Bonvicino, C. R.; and Cunha, A. S. 2014. Subsidies for a poorly known endemic semiarid biome of Brazil: non-volant mammals of an eastern region of Caatinga. Zoological Studies, 53 (16):1-13."
REF047;Article;"Bezerra, B. M.; and Souto, A. 2008. Structure and usage of the vocal repertoire of Callithrix jacchus. International Journal of Primatology, 29:671-701."
REF048;Article;"Bianchin, J. F.; Koenemann, J. G.; and Chiva, E. Q. 2011. Mamiferos nao voadores encontrados em tres areas do Parque Estadual do Espinilho, Barra do Quarai, Rio Grande do Sul, Brazil. Biodiversidade Pampeana, 9 (1):44-49."
REF049;Technical document;Biolaw. 2005. Monitoramento ambiental UHE 14 de Julho, rio das Antas, RS.
