REF_ID;PUB_TYPE;REFERENCE
REF222;Article;"Magioli, M.; Ferraz, K. M. P. M. B.; Setz, E. Z. F.; Percequillo, A. R.; Rondon, M. V. S. S.; Kuhnen, V. V.; Canhoto, M. C. S.; Santos, K. E. A.; Kanda, C. K.; Fregonezi, G. L.; Prado, H. A.; Ferreira, M. K.; Ribeiro, M. C.; Villela, P. M. S.; Coutinho,  L. L.; and Rodrigues, M. G. 2016. Connectivity maintains mammal assemblages functional diversity within agricultural and fragmented landscapes. European Journal of Wildlife Research, 62:431-446."
REF223;Thesis;Malukiewicz, J. 2013. Hybridization and Speciation in Common and Black-Tufted Marmosets (Callithrix jacchus and C. penicillata). Arizona State University. 
REF224;Article;"Mares, M. A.; Willig, M. R.; Streilein,K. E.; and Lacher Jr., T. E. 1981. The mammals of Northeastern Brazil: a preliminary assessment. Annals of the Carnegie Museum 50 (4):81-137."
REF225;Article;"Marques, R. V.; Cademartori, C. V.; and Pacheco, S. M. 2011. Mastofauna no planalto das Araucarias, Rio Grande do Sul, Brazil. Revista Brazileira de Biociencias, 9 (3):278-288."
REF226;Article;"Martin-Albarracin, V. L.; Nuñez, M. A.; and Amico, G. C. 2015. Replacement of native by non-native animal communities assisted by human introduction and management on Isla Victoria, Nahuel Huapi National Park. PeerJ, 3:e1328."
REF227;Data base ;Martinez Gallardo, R. 2011. Inventario de los mamiferos pequenos y medianos de las zonas aridas y semiaridas de Baja California. Universidad Autonoma de Baja California. Facultad de Ciencias. Bases de datos SNIB-CONABIO, proyecto No. GT026. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/proyectos/resultados/GT026_CARATULA_BASE_DE_DATOS.pdf>
REF228;Article;"Martínez, H. S.; Porras, A. I.; Vilches, A. M.; Bonzo, E.; Menéndez, N. A.; and Risso, M. A. 2003. Estimación de parámetros reproductivos de la liebre europea (Lepus europaeus Pallas, 1778) en la provincia de Buenos Aires, Argentina. Analecta veterinaria, 23 (1):20-29."
REF229;Article;"Mazza, I.; Rosa, C. A.; Souza, A.; and Aximoff, I. 2018. Mamíferos de médio e grande porte registrados em florestas dominadas por Araucaria angustifolia na RPPN Alto-Montana, Serra da Mantiqueira. Oecologia Australis, 22 (1):74-88."
REF230;Thesis;Mella-Mendez, I. 2015. Impacto de perros y gatos sobre la comunidad de mamiferos medianos en Areas Naturales Protegidas Urbanas de Xalapa, Veracruz, Mexico. Universidad Veracruzana.
REF231;Article;"Melo, M. A.; Moreno, D. J.; Ribeiro, B. C.; Andrade, P. G. B.; Magalhaes, A. F. A.; Carvalho, M. A. S.; and Piratelli, A. J. 2018. Opportunistic predation on birds trapped in mist nets in two areas in the Atlantic Forest of southeastern Brazil. Studies on neotropical fauna and environment, 53:1-5."
REF232;Article;"Mendes Pontes, A. R.; Beltrao, A. C. M.; Normande, I. C.; Malta, A. J. R.; Silva Junior, A. P.; and Santos, A. M. M. 2016. Mass Extinction and the Disappearance of Unknown Mammal Species: Scenario and Perspectives of a Biodiversity Hotspots Hotspot. PLoS ONE, 11 (5): e0150887. "
REF233;Article;"Mendes, C. L. S.; and Melo, F. R. 2007. Situação atual do sagui-da-serra (Callithix flaviceps) em fragmentos florestais da Zona da Mata de Minas Gerais. Aprimatologia no Brazil, 10:163-180."
REF234;Article;"Merino, M. L.; and Carpinetti, B. N. 2003. Feral pigs Sus scrofa estimates in Bahia Samborombon Conservation Area, Buenos Aires province, Argentina. Mastozoologia Neotropical, 10 (2):269-275."
REF235;Data base ;Michigan State University Museum, Vertebrate specimens. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/541, 2012-12-04>
REF236;Data base ;Miranda, A. 1997. Deforestacion y fragmentacion del habitat: consecuencias ecologicas sobre la fauna de mamiferos de la selva tropical estacional. Universidad Nacional Autonoma de Mexico. Instituto de Ecologia. Bases de datos SNIB-CONABIO proyecto No. B033. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/proyectos/resultados/B033_CARATULA%20BASE%20DE%20DATOS.pdf>
REF237;Web site;Moore Laboratory of Zoology (MLZ). Accessed in <https://www.oxy.edu/moore-lab-zoology>
REF238;Article;"Moraes, A. M.; and Melo, F. R. 2011. Distribuição geográfica de Callithrix aurita e Callithrix flaviceps e avaliação espacial de sua zona de intergradação nos municípios de Espera Feliz, Caiana e Caparaó, MG. A Primatologia no Brazil, 11:231-255."
REF239;Article;"Moraes, M. F. D.; Silva, M. X.; Magalhaes-Matos, P. C.; Albuquerque, A. C. A.; Tebaldi, J. H.; Mathias, L. A.; and Lux Hoppe, E. G. Filarial nematodes with zoonotic potential in ring-tailed coatis (Nasua nasua Linnaeus, 1766, Carnivora: Procyonidae) and domestic dogs from Iguacu National Park, Brazil. Veterinary Parasitology: Regional Studies and Reports, 8:2017-2019."
REF240;Thesis;Morais, T. A. 2017 Uso de habitat e padrao de atividade do javali em areas do dominio Atlantico. Universidade Federal de Sao Joao del Rei.
REF241;Article;"Morales, J.; Alva-Valdivia, L. M.; Goguitchaichvili, A;. and Urrutia-Fucugauchi, J. 2006. Cooling rate corrected paleointensities from the Xitle lava flow: Evaluation of within-site scatter for single spot-reading cooling units. Earth Planets and Space, 58:341-347."
REF242;Article;Moura, A. C. D. A. 2007. Primate group size and abundance in the Caatinga dry forest, Northeastern Brazil. International Journal of Primatology, 28 (6):1279-1297.
REF243;Article;"Mourao, G.; Coutinho, M. E.; Mauro, R. A.; Tomas, W.; and Magnusson, W. 2002. Levantamentos aereos de espécies introduzidas no Pantanal: porcos ferais (porco monteiro), gado bovino e bufalos. Embrapa Pantanal, 28:1-22."
REF244;Article;"Mourthé, I. M. C.; Guedes, D.; Fidelis, J.; Boubli, J. P.; Mendes, S. L.; and Strier, K. B. 2007. Ground use by northern muriquis (Brachyteles hypoxanthus) American Journal Primatology, 69:706–712."
REF245;Data base ;MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections. Accessed through GBIF data portal <https://www.gbif.org/dataset/22a66350-7947-4a49-84a3-39c7c1b0881f>
REF246;Data base ;Museum of Texas Tech University -TTU-, Mammal specimens. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/582, 2012-12-04>
REF247;Data base ;Museum of Vertebrate Zoology -MVZ-, University of California, Berkeley. Accessed through GBIF data portal <https://cfo.berkeley.edu/museum-vertebrate-zoology-evolutionary-genetics-lab-recharge-rates>
REF248;Data base ;Natural History Museum of Los Angeles County, LACM Vertebrate Collection. Accessed through GBIF data portal, http://data.gbif.org/datasets/resource/14305, 2012-12-04
REF249;Technical document;Neri, F. M. 2006. Levantamento de medios e grandes mamiferos. Plano de Manejo do Parque Estadual de Vassununga - SP. 
REF250;Article;Novaro, A. J., A. F. Capurro, A. Travaini, M. C. Funes, and J. E. Rabinovich. 1992. Pellet-count sampling based on spatial distribution: a case study of the European hare in Patagonia. Ecología Austral 2:11-18.
REF251;Article;Novaro, A. J., Funes, M. C., and R. S. Walker. 2000. Ecological extinction of native prey of a carnivore assemblage in Argentine Patagonia. Biological Conservation, 92:25-33.
REF252;Article;"Novaro, A. J.; Capurro, A. F.; Travaini, A.; Funes, M. C.; and Rabinovich, J. E. 1992. Pellet-count sampling based on spatial distribution: a case study of the European hare in Patagonia. Ecología Austral, 2:11-18."
REF253;Article;"Novillo, A.; and Ojeda, R. A. 2008. The exotic mammals of Argentina. Biological Invasions, 10 (8):1333-1344."
REF254;Thesis;Nunes, A. M. 2006. Ecologia cognitiva e forrageio social em hibridos de Callithrix penicillata X Callithrix jacchus (Primates: Cebidae: Callitrichinae) introduzidos na Ilha de Santa Catarina. Pontificia Universidade Catolica do Rio Grande do Sul. 
REF255;Article;"Nunes, A. V.; Scoss, L. M.; Prado, M. R.; and Lessa, G. 2013. Survey of large and medium-sized terrestrial mammals in the Serra do Brigadeiro State Park, Minas Gerais, Brazil. CheckList, 9 (2):240-245."
REF256;Technical document;"Nunez, M.; and Quintero, C. 2002. ¿Qué hacer con las especies exóticas invasoras? Problemática y técnicas de manejo (algunos ejemplos de especies exóticas en la Patagonia argentina). Bariloche: Cuadernos Universitarios, Centro Regional Universitario Bariloche, Universidad Nacional del Comahue."
REF257;Article;"Nunez-Regueiro, M. M. L.; Branch, R. J.; Fletcher Jr., G. A.; Maras, E. D.; and Talamo, A. 2015. Spatial patterns of mammal occurrence in forest strips surrounded by agricultural crops of the Chaco region, Argentina. Biological Conservation, 187 :19-26."
REF258;Article;"Oliveira, I. S.; Ribeiro, V. M.; Pereira, E. R.; and Vitule, J. R. S. 2016. Predation on native anurans by invasive vertebrates in the Atlantic Rain Forest, Brazil. Oecologia Australis, 20 (3):391-395."
REF259;Article;"Oliveira, L. C.; and Grelle, C. E. V. 2012. Introduced primate species of an Atlantic Forest region in Brazil: present and future implications for the native fauna. Tropical Conservation Science, 5 (1):112-120."
REF260;Article;"Oliveira-Silva, L. R. B.; Campêlo, A. C.; Lima, I. M. S.; Araújo, A. C. L.; Bezerra, B. M.; and Souza-Alves, J. P. 2018. Can a Non-Native Primate Be a Potential Seed Disperser? A Case Study on Saimiri sciureus in Pernambuco State, Brazil. Folia Primatologica, 89 (2):138-149."
REF261;Article;"Oliveira-Silva,L. R. B.; Campêlo, A. C.; Lima, I. M. S.; Araújo, A. C. L.; Bezerra, B. M.; and Souza-Alves. 2018. Can a Non-Native Primate Be a Potential Seed Disperser? A Case Study on Saimiri sciureus in Pernambuco State, Brazil. Folia Primatologica, 89 (2):138-149."
REF262;Article;"Pacheco, L. F.; Lucero, A.; and Villca, M. 2004. Dieta del puma (Puma concolor) en el Parque Nacional Sajama, Bolivia y su conflicto con la ganadería. Ecología en Bolivia, 39 (1):75-83."
REF263;Thesis;Pagoto, A. 2016. Ocorrência de Callithrix aurita (Primates, Callitrichidae) e as representações sociais de moradores: contribuições as políticas públicas. Universidade de Mogi das Cruzes.
REF264;Article;"Palmeira, F. B. L.; Crawshaw Jr., P. G.; Haddad, C. M.; Ferraz, K. M. P. M. B.; and Verdade, L. M. 2008. Cattle depredation by puma (Puma concolor) and jaguar (Panthera onca) in Central-Western Brazil. Biological Conservation 141:118-125."
REF265;Article;"Palmeira, F. B. L.; Trinca, C. T.; and Haddad, C. M. 2015. Livestock predation by puma (Puma concolor) in the highlands of a southeastern Brazilian Atlantic forest. Environmental Management, 56:903-915."
REF266;Article;"Pasian, C.; Di Blanco, Y. E.; Fontana, J. L.; and Farina, N. 2015. Composicion de mamiferos medianos y grandes de la Reserva Natural Provincial Rincon de Santa Maria (Corrientes, Argentina): comparacion con su zona de amortiguamiento y estado de conservacion. Mastozoologia Neotropical, 22 (1):187-194."
REF267;Article;Passamani, M. and Rylands, A. 2000. Feeding Behavior of Geoffroy's Marmoset (Callithrix geoffroyi) in an Atlantic Forest Fragment of South-eastern Brazil . Primates, 41 (1):27-38.
REF268;Article;"Passamani, M.; and Fernandez, F. 2011. Abundance and richness of small mammals in fragmented Atlantic Forest of southeastern Brazil. Journal of Natural History,   45:553-565."
REF269;Article;Pautasso, A. 2008. Mamiferos de la provincia de Santa Fe, Argentina. Comunicaciones del Museo Provincial de Ciencias Naturales Florentino Ameghino, 13 (2):1-248.
REF270;Congress abstract;"Pedo, E.; Tomazzoni, A. C.; and Hartz, S. M. 2002. Levantamento das espécies de mamíferos (Mammalia) da Reserva Biológica do Lami, Porto Alegre, RS. In: XXIV Congresso Brasileiro de Zoologia."
REF271;Article;"Penter, C.; Pedo, E.; Fabian, M. E.; and Hartz, S. M. 2008. Inventário rápido da fauna de mamíferos do Morro Santana, Porto Alegre, RS. Revista Brazileira de Biociencias, 6 (1):117-125."
REF272;Article;Pessoa, F. S. 2009. Non-volant mammals, Reserva Particular do Patrimonio Natural -RPPN- Rio das Pedras, municipality of Mangaratiba, state of Rio de Janeiro, Brazil. Check List, 5 (3):577-586.
REF273;Article;"Peters, F. B.; Roh, P. R. O.; Jeronimo, A. A.; Pereira, M. S.; Poerschke, F.; Machado, L. F.; and Christoff, A.U. 2009. Predacao de Lepus europaeus (Lagomorpha: Leporidae) por Bubo virginianus (Strigiformes: Strigidae) no sul do Brazil. Biodiversidade Pampeana, 7 (1):31-34."
REF274;Article;"Peters, F. B.; Roth, P. R. O.; and Christoff, A. U. 2013. Primeiro registro documentado de Holochilus Braziliensis (Desmarest, 1819) e Calomys laucha (G. Fischer, 1814) no estado de Santa Catarina, sul do Brazil. Biotemas, 26 (3):177-184."
REF275;Article;"Pia, M. V.; López, M. S.; and Novaro, A. J. 2003. Effects of livestock on the feeding ecology of endemic culpeo foxes (Pseudalopex culpaeus smithersi) in central Argentina Efectos del ganado sobre la ecología trófica del zorro culpeo (Pseudalopex culpaeus smithersi)(Carnivora&58; Canidae) endémico del centro de Argentina. Revista Chilena de Historia Natural, 76(2):313-321."
REF276;Article;"Piazza, M. V.; Garibaldib, L. A.; Kitzbergerc, T.; and Chanetona, E. J. 2016. Impact of introduced herbivores on understory vegetation along a regional moisture gradient in Patagonian beech forests. Forest Ecology and Management, 366:11-22.
"
REF277;Article;"Pinto, L.C.; and Duarte, M.M. 2013. Occurrence (new record) of maned wolf Chrysocyon brachyurus (Illiger, 1815) (Carnivora, Canidae) in Southern Brazil. Ciencia Florestal, 23 (1):253-259."
REF278;Article;"Pontes, A. R. M.; and Monteiro da Cruz, M. A. O. 1995. Home range, intergroup transfers, and reproductive status of common marmosets Callithrix jacchus in a forest fragment in North-Eastern Brazil. Primates, 36:335-347."
REF279;Article;"Pontes, A. R. M.; Normande, I. C; Fernandes, A. C. A.; Ribeiro, P. F. R.; and Soares, M. L. 2007. Fragmentation causes rarity in common marmosets in the Atlantic forest of northeastern Brazil. Biodiversity and Conservation, 16:1175 -1182."
REF280;Data base ;Pozo de la Tijera, M. del C. 1998. Elaboracion del banco de datos de las colecciones del Museo de Zoologia-CIQRO. El Colegio de la Frontera Sur. Unidad Chetumal. Bases de datos SNIB-CONABIO proyecto No. P028. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/cgi-bin/datos.cgi?Letras=P&Numero=28>
REF281;Article;"Profico, A.; Piras, P.; Buzi, C.; Vincenzo, F. D.; Lattarini, F.; Melchionna, M.; Veneziano, A.; Raia, P.; and Manzi, G. 2017. The evolution of cranial base and face in Cercopithecoidea and Hominoidea: Modularity and morphological integration. American Journal of Primatology, 79:1-12."
REF282;Web site;Programa de Conservación  de la Biodiversidad y Desarrollo Sustentable  en los Humedales del Este - PROBIDES. Accessed in<https://www.probides.org.uy/>
REF283;Article;"Puig, S.; Videla, F.; Cona, M. I.; and Monge, S. A. 2007. Diet of the brown hare (Lepus europaeus) and food availability in northern Patagonia (Mendoza, Argentina). Mammalian Biology, 72 (4):240-250."
REF284;Technical document;"Purquerio, L. F. V.;Gallo, P. B.; Branco, R. B. F.; Regitano Neto, A.; Reco, P. C.; and Ambrosano, E. J. Relatos de ocorrÊncia de animais silvestres e de danos causados em culturas de interesse comercial no Estado de São Paulo. In: Wutke, E. B.; Tivelli, S. W.; Azevedo Filho, J. A.; et al. Campinas: Instituto Agronomico, 2012. 37 . (Documentos IAC, 110)"
REF285;Article;"Quintela, F. M.; Santos, M. B.; Oliveira, S. V.; Costa, R. C.; and Christoff, A. U. 2010. Javalis e porcos ferais (Suidae, Sus scrofa) na Restinga de Rio Grande, RS, Brazil: ecossistemas de ocorrência e dados preliminares sobre impactos ambientais. Neotropical Biology and Conservation, 5 (3):172-178"
REF286;Thesis;Quitral, C. A. V. 2006. Formulación y evaluación de un producto cárnico tipo pastrami con carne de liebre (Lepus europaeus Pallas 1778). Thesis. Universidad de Chile, Santiago, Chile.
REF287;Article;"Raboy, B. E.; Canale, G. R.; and Dietz, J.M. 2008. Ecology of Callithrix kuhlii and a review of eastern Brazilian marmosets. International Journal of Primatology, 29:449-467."
REF288;Data base ;Ramirez Pulido, J. 1999. Biodiversidad mastozoologica del Eje Volcanico Transversal. Universidad Autonoma Metropolitana-Unidad Iztapalapa. Bases de datos SNIB-CONABIO proyecto No. J121. Mexico, DF. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/proyectos/resultados/J121_CARATULA%20BASE%20DE%20DATOS.pdf>
REF289;Thesis;Ramos, Y. 2016. Avaliação da ocorrência de javalis (Sus scrofa) e capivaras (Hydrochoerus hydrochaeris) no Parque Nacional de Itatiaia: comparacao entre uma especie exotica e uma especie nativa. Universidade Estadual do Norte Fluminense. 
REF290;Article;"Rau, J. R.; Tillería, M. S.; Martinez, D. R.; and Muñoz-Pedreros, A. 1991. Dieta de Felis concolor (Carnivora: Felidae) en áreas silvestres protegidas del sur de Chile. Revista Chilena de Historia Natural, 64:139-144."
REF291;Thesis;Ribas, C. D. 2015. O papel das Areas de Protecão Permanente e da Reserva Legal na conservação de mamíferos de médio e grande porte e como abrigo do javali em duas areas de agroecossistemas no estado de Mato Grosso do Sul. 2015. Universidade Federal de Mato Grosso do Sul.
REF292;Article;Risso, M. A., H. S. Martínez, A. I. Porras, A. M. Vilches, E. B. Bonzo, and N. A. Menéndez. 2003. Estimación de parámetros reproductivos de la liebre europea (Lepus europaeus Pallas, 1778) en la provincia de Buenos Aires, Argentina. Analecta Veterinaria 23:20-29.
REF293;Thesis;Rocha, A. 2013. Sensibilidade ambiental fluvial a derrames de óleo e biocombustível: vulnerabilidade e impactos à mastofauna. Universidade Estadual Paulista.
REF294;Thesis;Rocha, A. 2017. Disponibilidade de recursos e antropizacao estruturando a assembleia de primatas na floresta de igapo.Instituto Nacional de Pesquisas Ambientais.
REF295;Congress abstract;"Rocha, A.; and Carvalho, S. 2011. Comportamento alimentar de Callithrix penicillata em fragmento urbano no municipio de Campinas/SP: implicações etológicas. In: X Congresso de Ecologia do Brazil, Sao Lourenço, Minas Gerais."
REF296;Article;"Rocha, A.; Borges, S. H.; Ovalle, J. M. R.; and Barnett, A. A. 2017.Collared Forest-Falcon (Micrastur semitorquatus) preying on a squirrel in a fragment of Atlantic Forest with a revision of the predation events for the species. Revista Brazileira de Ornitologia, 25 (4):244-249."
REF297;Congress abstract;"Rocha, A.; Homem, D. H.; Lima, E. F. 2013. Monitoramento de mamíferos de médio e grande porte em fragmento de Mata Atlântica de interior em restauração. V Simpósio de Restauracao Ecológica - São Paulo."
REF298;Article;"Rocha, P. A.; Cunha, M.A.; Silva, C. S.; Ruiz-Esparza, J.; Beltrao-Mendes, R.; and Ferrari, S. F. 2017. Non-Volant mammals of a remnant of the Atlantic Forest in northeastern Brazil. Neotropical Biology and Conservation, 12 (3):191-199."
REF299;Congress abstract;"Rodrigues de Souza, L. R. S.; and Silva, A. C. C. 2012. Caracterização ambiental da Reserva de Desenvolvimento Sustentável Estadual da Ponta do Tubarão e verificação da relação da pesca da sardinha-laje com a precipitação no distrito de Diogo Lopes, Macau/RN. In: XVII Encontro Nacional de Geógrafos."
REF300;Article;"Rodríguez-Calderón, Y. G.; Contreras-Moreno, F. M.; Segura-Berttolini, E. C.; Bautista-Ramírez, P.; and Jesús-Espinosa, D. 2018. Análisis del conflicto entre la fauna silvestre y productores rurales en dos comunidades de Balancán, Tabasco, México. Agroproductividad, 11 (6):51-59."
REF301;Web site;Ronda municipal de Uruguaiana captura veado campeiro. 2018. Acesso em: <http://www.correiodopovo.com.br/Noticias/Cidades/2018/03/645937/Ronda-municipal-de-Uruguaiana-captura-veado-campeiro>
REF302;Thesis;Rosa, A. O. 2002. Comparação da diversidade de mamíferos não-voadores em áreas de floresta de restinga e áreas reflorestadas com Pinus elliottii no sul do Brazil. Universidade do Vale do Rio dos Sinos.
REF303;Article;"Rosa, C. A.; and Souza, A. C. 2017. Large and medium-sized mammals of Nova Baden State Park, Minas Gerais, Brazil. Check List, 13 (3):1-6."
REF304;Data base ;Royal Ontario Museum, Mammal specimens. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/657, 2012-12-04>
REF305;Data base ;Royal Ontario Museum: Mammalogy Collection - Royal Ontario Museum. Accessed through GBIF data portal <http://grbio.org/cool/pawq-rs8t>
REF306;Web site;Ruedi M. Mammals housed at MHNG, Geneva. Museum dhistoire naturelle de la Ville de Geneve. Accessed in <http://www.ville-geneve.ch/plan-ville/musees/museum-histoire-naturelle/>
REF307;Technical document;Ruiz, E. G. 2004. Industria frigorífica exportadora de liebres. Informe. Cámara Argentina de Productores y Procesadores del Productos de la Fauna Silvestre y sus Derivados, Buenos Aires, Argentina.
REF308;Technical document;Ruiz, E. G. 2004.Informe 2004. Cámara Argentina de Productores y Procesadores del Productos de la Fauna Silvestre y sus Derivados. 
REF309;Article;"Ruiz-Miranda, C. R.; Affonso, A. G.; Martins, A.; and Beck, B. 2000. Distribuicao do sagui (Callithrix jacchus) nas areas de ocorrência do mico-leão-dourado (Leontopithecus rosalia) no estado do Rio de Janeiro. Neotropical Primates,3: 98-101."
REF310;Article;"Sales, L. P.; Hayward, M. W.; and Passamani, M. 2016. Local vs landscape drivers of primate occupancy in a Brazilian fragmented region. Acta Theriologica, 61:73-82."
REF311;Thesis;Salvador, C. H. 2012. Ecologia e manejo de javali (Sus scrofa L.) na America do Sul. Universidade Federal do Rio de Janeiro.
REF312;Congress abstract;"Salvador, C. H.; and A. Filippini. 2008. Ocorrência atual de mamíferos em ilhas costeiras de Santa Catarina, sul do Brazil. In: IV Congresso Brazileiro de Mastozoologia. "
REF313;Data base ;"Salvador, C. H.; and Tortato, M. Projetc Plano de Acao Emergencial para Controle de Javalis -Sus scrofa- Invasores Parque Estadual Fritz Plaumann. Caipora Cooperativa. Florianopolis. (Unpublished data)"
REF314;Data base ;Sam Noble Oklahoma Museum of Natural History, Mammals Specimens. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/631, 2012-12-04>
REF315;Article;"Sancha, N. U.; Mantilla-Meluk, H.; Ramirez, F.; Perez, P.; Mujica, N.; Troche, A.; and Gimenez, M. 2009. Mammalia, Lagomorpha, Leporidae, Lepus europaeus, Pallas, 1778: distribution extension, first confirmed record for Paraguay. Check List, 5(3):428-432."
REF316;Article;"Sanguinetti, J.; Buria, L.; Malmierca, L.; and Valenzuela, A. E. J. 2014. Manejo de especies exóticas invasoras en Patagonia, Argentina: Priorización, logros y desafíos de integración entre ciencia y gestión identificados desde la Administración de Parques Nacionales. Ecologia Austral, 24:183-192."
REF317;Data base ;Santa Barbara Museum of Natural History, Santa Barbara Musem of Natural History. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/646, 2012-12-04>
REF318;Article;"Santos, C. L. A.; Silva, A. P.; Santos, S. B.; Pardini, R.; and Cassano, C. R., 2017. Dog invasion in agroforests: The importance of households, roads and dog population size in the surroundings. Perspectives in Ecology and Conservation, 15:221-226."
REF319;Article;"Santos, T. G.; Spies, M. R.; Kopp, K.; Trevisan, R.; and Cechin, S. Z. 2008. Mamíferos do campus da Universidade Federal de Santa Maria, Rio Grande do Sul, Brazil. Biota Neotropica, 8:125-131."
REF320;Article;"Saranholi, B. H.; Bergel, M. M.; Ruffino, P. H. P.; Rodriguez-C, K. G.; Ramazzotto, L. A.; Freitas, P. D.; and Galetti Jr., P. M. 2016. Roadkill hotspots in a protected area of Cerrado in Brazil: planning actions to conservation.Revista MVZ Cordoba, 21 (2):5441-5448."
REF321;Article;"Sarmento, R.; Brito, D.;Ladle, R. J.; Leal, G. R.; and Efe, M. A. 2014. Invasive house (Rattus rattus) and brown rats (Rattus norvegicus) threaten the viability of red-billed tropicbird (Phaethon aethereus) in Abrolhos National Park, Brazil. Tropical Conservation Science 7:614-627."
REF322;Article;"Sauthier, D. E. U.; Abba, A. M.; Bender, J. B.; and Simon, P. M. 2008. Mamiferos del arroyo Perucho Verna, Entre Rios, Argentina. Mastozoologia Neotropical, 15 (1):75-84."
REF323;Web site;"Schlee, J. M.; and Schlee, J. C. P. Florestas Pampeanas (Ecologia Florestal) Cervidae. Disponível em: <http://florestaspampeanas.blogspot.com.br/2015/03/florestas-pampeanas-bioma-pampa.html>"
REF324;Book;"Schneider, M.; and Oliveira, L. F. B. 2006. Cervideos do genero Mazama (Mammalia, Artiodactyla) na Estação Ecológica de Aracuri, RS: densidade, dieta e padrões de uso dos habitats. In: Freitas,T.R.O., Vieira E., Pacheco S. & Christoff A.U. (orgs.). Mamiferos do Brazil: genética, sistemática, ecologia e conservação. SBMz."
REF325;Technical document;SECRETARIA DO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL. 2005. Plano de manejo do Parque Estadual do Turvo. In <http://www.sema.rs.gov.br/parque-estadual-do-turvo>
REF326;Technical document;SECRETARIA DO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL. 2006. Plano de manejo do Parque Estadual do Turvo. In <http://www.sema.rs.gov.br/itapeva>
REF327;Technical document;SECRETARIA DO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL. 2007. Plano de manejo da Estação Ecológica Estadual de Aratinga. In <http://www.sema.rs.gov.br/estacao-ecologica-estadual-aratinga>
REF328;Technical document;SECRETARIA DO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL. 2008. Plano de manejo da Reserva Biológica da Serra Geral. In <http://www.sema.rs.gov.br/reserva-biologica-da-serra-geral>
REF329;Technical document;SECRETARIA DO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL. 2008. Plano de manejo do Parque Estadual de Tainhas. In <http://www.sema.rs.gov.br/parque-estadual-do-tainhas>
REF330;Data base ;Servin Martinez, J. I. 1998. Los mamiferos del estado de Durango, Mexico. Instituto de Ecologia A.C. Centro Regional-Durango. Bases de datos SNIB-CONABIO proyecto No. P064. Mexico, D.F. Accessed through GBIF data portal https://www.gbif.org/dataset/80342ed0-f762-11e1-a439-00145eb45e9a
REF331;Article;"Shimada, M.; and Sueur, C. 2017. Social play among juvenile wild Japanese macaques (Macaca fuscata) strengthens their social bonds.American Journal of Primatology, 80:1- 12.

"
REF332;Article;"Siciliano, S.; Emin-Lima, R.; Costa, A.; Sousa, J. E.; and Junior, S. 2015. Large- and Medium-Sized Land Mammals of Northeast Marajó Island, Lower Amazon, Brazil. Natural Resources, 6:37-47."
REF333;Article;"Silva, J. E.; and  Azevedo, C. 2012. Rattus rattus (Mammalia: Rodentia) predation by Ramphastos vitellinus (Aves: Ramphastidae) in Santa Teresa Municipality, Espírito Santo, Brazil. Revista Brazileira de Ornitologia, 20 (2):156-157."
REF334;Article;Silva, J. N., and C. S. Azevedo. 2012. Rattus rattus (Mammalia: Rodentia) predation by Ramphastos vitellinus (Aves: Ramphastidae) in Santa Teresa Municipality, Espírito Santo, Brazil. Revista Brasileira de Ornitologia 20:156-157.
REF335;Article;"Silva, V. X.; Sacramento, M.; Hasui, E.; Cunha, R. G. T.; and Ramos, F. N. 2016. Taxonomic groups with lower movement capacity may present higher beta diversity. Iheringia, Serie Zoologia, 107:e2017005."
REF336;Article;"Simberloff, D.; Relva, M. A.; and Nuñez, N. 2002. Gringos en el bosque: introduced tree invasion in a native Nothofagus/Austrocedrus forest. Biological Invasions, 4:35-53."
REF337;Article;"Simo, M.; Perez-Miles F., Ponce de Leon, R.; Achaval, F.; and Meneghel, M. 1994. Relevamiento de fauna de la Quebrada de los Cuervos; area natural protegida -Dpto. Treinta y Tres (Uruguay). Boletin de la Sociedad Zoologica del Uruguay, 2:1-20"
REF338;Data base ;"Sosa Fernandez, V.; Hernandez A.; and Bello, J. 1998. Inventario de los mamiferos de las reservas de la biosfera Mapimi, La Michilia, El Cielo y Calakmul. Instituto de Ecologia A.C. Bases de datos SNIB-CONABIO proyecto No. P027. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/cgi-bin/datos2.cgi?Letras=P&Numero=27>
"
